ProcessId 	Priority 	ArrivalTime 	BurstTime
1 43 69 53
2 57 95 58
3 62 55 80
4 23 96 95
5 66 27 39
6 70 80 40
7 84 54 29
8 34 90 39
9 11 91 95
10 43 29 97
11 62 7 59
12 48 57 61
13 23 90 25
14 39 45 61
15 16 62 49
16 96 19 33
17 92 94 39
18 100 48 25
19 66 99 52
20 91 91 20
21 1 40 44
22 48 92 33
23 40 77 99
24 97 4 94
25 94 50 49
26 57 10 53
27 45 86 63
28 33 98 67
29 37 80 39
30 10 61 86
31 63 70 79
32 66 84 32
33 9 7 59
34 4 40 30
35 2 36 80
36 14 46 38
37 16 17 36
38 28 0 21
39 80 25 35
40 47 42 79
41 11 83 79
42 87 17 88
43 52 73 51
44 76 12 90
45 26 92 24
46 88 76 77
47 46 38 68
48 67 72 29
49 55 12 21
50 41 24 39
